"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","36","0","0"
"EPIC - 100: Design login for open cart application","","US - 01: design login page features for open cart application","0","0","8","0","0"
